1,AO94DHGC771SJ,528881469,"06 2, 2013",5
2,AMO214LNFCEI4,528881469,"11 25, 2010",1
3,A3N7T0DY83Y4IG,528881469,"09 9, 2010",3
4,A1H8PY3QHMQQA0,528881469,"11 24, 2010",2
5,A24EV6RXELQZ63,528881469,"09 29, 2011",1
6,A2JXAZZI9PHK9Z,594451647,"01 3, 2014",5
7,A2P5U7BDKKT7FW,594451647,"04 27, 2014",2
8,AAZ084UMH8VZ2,594451647,"05 4, 2014",5
9,AEZ3CR6BKIROJ,594451647,"07 11, 2014",4
10,A3BY5KCNQZXV5U,594451647,"01 20, 2014",5
11,A7S2B0I67WNWB,594481813,"04 16, 2014",4
12,A3HICVLF4PFFMN,594481813,"05 5, 2014",5
13,ANSKSPEEAKY7S,594481813,"06 24, 2013",5
14,A2QBZA4S1ROX9Q,594481813,"05 25, 2013",3
15,ANY6JUFM0GH8U,594481813,"03 9, 2014",5
16,AT09WGFUM934H,594481813,"08 31, 2013",3
17,AGAKHE014LQFU,594481813,"09 18, 2013",3
18,A1S6B5QFWGVL5U,594481813,"06 27, 2013",4
19,A20XXTXWF2TCPY,972683275,"07 12, 2014",5
20,A2IDCSC6NVONIZ,972683275,"04 30, 2013",5
21,A1EDI0X3GI1SK7,972683275,"12 16, 2011",5
22,A3BMUBUC1N77U8,972683275,"11 23, 2013",4
23,AVRFGGCCCR6QU,972683275,"08 30, 2010",4
24,A3UOSOCRKS3WIH,972683275,"05 12, 2013",5
25,A371ZZ95ZQEIZV,972683275,"01 7, 2014",4
26,A7060R14RJF3I,972683275,"05 18, 2013",4
27,A26QCCO0101CO1,972683275,"02 21, 2013",5
28,APBF796U7GUTV,972683275,"03 17, 2012",5
29,A2HLNXOYLMERTC,972683275,"04 16, 2014",5
30,A3CCITVF0WL6KE,972683275,"01 9, 2013",5
31,AYQNWE3AX4H08,972683275,"07 18, 2013",5
32,A3P24ZSF9IQRJJ,972683275,"06 13, 2014",5
33,A1JI3XL5ME8CWM,972683275,"05 8, 2012",4
34,AQBLWW13U66XD,972683275,"08 4, 2013",5
35,AUKEU9CW56TT4,972683275,"04 7, 2014",5
36,A23A7OH3AM0PDA,972683275,"01 27, 2011",4
37,A12AU3CNAWYO5D,972683275,"12 23, 2012",5
38,A5O0P0JV6PLU3,972683275,"11 25, 2012",5
39,A27X48PMUGK6U4,972683275,"11 20, 2010",5
40,A2KQDWZZUBBNOJ,972683275,"05 31, 2011",4
41,A27XULAA9X5ZGQ,972683275,"02 17, 2012",5
42,A3IIGCFLKVFW8M,972683275,"02 27, 2014",5
43,A20VSTDILG9K7H,972683275,"06 13, 2014",4
44,A3VKO21KYDJQ2W,972683275,"07 12, 2011",3
45,A1MSO6LERG39PC,972683275,"09 13, 2012",5
46,A20Q4FIBCAG2ZV,972683275,"04 25, 2013",5
47,A1980MGZXSGJP,972683275,"02 17, 2013",5
48,A1GLL5CJ1SFAMS,972683275,"01 12, 2012",5
49,A2683OJ85CLWFA,972683275,"02 10, 2013",5
50,A3M6S7Y1FNPOLD,972683275,"12 10, 2012",3
51,AOU1TM9UA1BZF,972683275,"01 2, 2014",5
52,A3S5643F4JNLQQ,972683275,"07 12, 2013",5
53,AJIA55AVU0CUS,972683275,"04 3, 2013",4
54,A3C51ESBUD8QAJ,972683275,"12 23, 2011",4
55,A3IC6OB22INS9,972683275,"05 24, 2013",4
56,A3ISZ8KLXYYI7P,972683275,"01 22, 2014",5
57,A3QH8VQDE7HZCR,972683275,"10 5, 2010",5
58,A6J8D9V5S9MBE,972683275,"06 1, 2011",5
59,A39Z4OU2C7ENWH,972683275,"02 7, 2012",3
60,A2E5IK9TUH8UPD,972683275,"03 7, 2012",4
61,AEQR0VUFBZXUY,972683275,"03 20, 2013",5
62,A13BWQDECDDVIZ,972683275,"02 6, 2011",4
63,A12XCRHPREC51Y,972683275,"06 17, 2013",4
64,A3QPJS71FU70MX,972683275,"09 27, 2013",4
65,A2A3B0JX2JRS6S,972683275,"09 18, 2013",5
66,A1ZPEZMQBCTZQN,972683275,"11 13, 2013",4
67,A2OGXHE7PVLTOE,972683275,"12 17, 2011",4
68,A3OYE7X2O08LNT,972683275,"02 7, 2013",4
69,A2LR9WP2JGDT8E,972683275,"12 17, 2012",2
70,A18FTRFQQ141CP,972683275,"03 18, 2012",5
